sentence,label
網誌版，拖了好久，終於找到時間看這部獲獎無數的電影,寄生上流
故事情節懸疑緊湊，每個鏡頭、片段、，對話都精心設計與安排，名不虛傳,寄生上流
而就像一杯美酒，好的藝術品除了本身的美感，更重，要的是品嘗過後那股後勁,寄生上流
寄生上流是一部後勁非常強的電影，讓我們在關注完情節之後，，想到的是更多導演可能沒有明說，卻逼著我們思考的部分,寄生上流
，電影中最有名的台詞之一是媽媽說的不是『雖然有錢，卻很善良,寄生上流
』，而是『因為有，錢，所以善良,寄生上流
善良，究竟是一種道德，還是一種奢侈品？有錢如比爾蓋茲，捐出，上億助貧也許眼睛都不會眨一下,寄生上流
他是個大善人，他幫助了也許我們一輩子也幫助不完的，人，但這就代表比爾蓋茲比我們都善良嗎？善良，可以用絕對值衡量嗎？善良，是一種，比例也許可以詮釋媽媽想表達的概念,寄生上流
如果今天一個流浪漢，將自己僅剩的一分錢分，給一個急需回家卻掉了錢包的焦急路人，他這種捨己為人的善良，即使只幫助了一位路人，，已經令人欽佩了,寄生上流
，相對善良，在電影中出現的還有各種邪惡,寄生上流
家欺騙社長夫人的邪惡、陷害前司機與前管，家的邪惡、最後動了殺機的邪惡，還有整個寄生概念的邪惡,寄生上流
可這就代表這些人是壞，人？有沒有可能，他們也是因為沒錢，所以作惡？當基本需求如吃飽喝足都是個問題的時，候，又有多少人有大愛能夠兼善天下？曾經看過一篇文章提到，集中營的生還者，多多少，少都帶有一種愧疚感,寄生上流
因為能夠生還的人，多數都是那種比較奸巧、比較願意配合施暴者，、比較自私而不願意用自身資源幫助他人、在他人受到迫害時傾向選擇沉默,寄生上流
那些高風亮，節的、那些溫暖敦厚的、那些願意伸出援手的，通常都最先招致施暴者的不滿而提早離開，,寄生上流
這些生還者如果從沒進過集中營，如果一直在太平盛世，也許一輩子都不用做壞人,寄生上流
好，比家人，即使沒有像家有錢，如果社會有足夠的資源支持這樣的家庭，也許根本用不，著他們去行騙，甚至壓迫更底層的前管家,寄生上流
如果可以，家何嘗不想幫助前管家？下雨的，那天，媽媽還是為管家開了門,寄生上流
她大可不必這麼做，可以說她帶著集中營生存者的愧疚，，但也許也是一種善良,寄生上流
是什麼導致了這樣的弱弱相殘？又是什麼讓他們都變成了壞人？，法官與警察為這個故事寫下了結局,寄生上流
在現代法治社會裡，家為他們的欺騙與暴力行為付，出了代價,寄生上流
然而，看似無辜的受害者家，真的如此無辜嗎？有沒有可能，他們也是這個，暴力行為的起因？貧富差距，是電影中連貫的主題，但不同於其他故事，導演沒有煽情的，利用貧富差距做悲情的控訴，而是透過家的視角，在層層遞進的劇情中，一次比一次更，深刻感受到朱門酒肉臭，路有凍死骨,寄生上流
在下大雨的那夜，家流離失所，而家卻還開心，的在讓兒子在家裡院子露營,寄生上流
